Genes,0a,0b,4a,4b,8a,8b,12a,12b,16a,16b,20a,20b
Mp1g01060,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g01070,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g01080,463.6452273,508.2390557,498.326705,589.8381572,473.5871809,569.2840052,556.1431843,598.0083919,542.5361523,601.5755897,414.7368062,428.4124148
Mp1g01090,893.4249379,984.5292038,1029.142491,978.77663,838.4419766,968.3890425,882.2060949,952.0564838,1098.997514,1164.351498,666.6888239,1000.701499
Mp1g01100,170.449685,165.9865197,192.5340014,150.9666101,210.1277446,258.0321613,274.8818083,226.6075499,175.3475813,208.1261347,195.5882439,190.194704
Mp1g01110,42.10675135,48.44128421,30.54948344,19.14521836,11.43028036,10.64231627,23.28825085,22.81585089,29.51512257,40.41657946,13.26380353,0.649286049
Mp1g01120,18.50407449,5.212506772,1.909742484,1.145909522,17.28006396,9.663324456,11.30508625,2.172196049,7.064550685,2.894897325,8.251629047,31.91137896
Mp1g01130,3713.223827,3223.5464,3101.764551,2221.350421,2328.312265,3228.692802,3697.477052,3654.52048,3764.201765,3989.266004,1429.589917,2134.661803
Mp1g01140,1147.041272,1183.878506,1647.035483,1770.125523,1169.322134,1651.825948,1627.497949,1650.764297,1304.087206,1433.149702,1217.588022,915.5447243
Mp1g01150,13.71816848,15.45875651,8.531461157,14.42062775,12.09811064,19.03685398,2.649502145,18.44995473,7.991931166,19.73802224,5.137460515,9.242939897
Mp1g01160,0,2.048111007,0.958766993,0.013525867,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.021741149,0.064681769
Mp1g01170,20.33919192,6.245023674,3.792184727,5.553850518,6.848463369,9.084367488,6.526934678,5.664655388,8.948359008,14.0934772,9.208470976,6.745811939
Mp1g01180,7.417642967,2.09262111,2.774390633,15.37316517,3.816392108,8.338287785,2.82462216,0.727613499,4.695800265,2.184000989,4.106645038,6.235796388
Mp1g01190,8.122228118,18.50812482,10.56571885,1.277983122,103.6496217,10.6823945,16.71024868,22.97407338,27.87483926,14.31151626,50.23243131,95.14524794
Mp1g01200,3626.056394,4147.426749,3361.806385,3833.324186,1651.469346,2987.474148,2984.876854,3019.974217,3576.65901,3352.1204,1900.537268,1153.125678
Mp1g01210,66705.16191,68771.50101,59326.8157,47312.52221,48035.65925,38096.87356,36640.27793,40894.61511,43172.51462,46820.4837,53437.84498,49936.2804
Mp1g01220,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17,1.39E-17
Mp1g01230,1.39E-17,1.39E-17,0.958766993,0.013525867,0.166954959,2.52993366,1.39E-17,1.39E-17,1.459101632,2.347102199,0.010326127,4.250789289
Mp1g01240,159.5340269,124.7778655,112.4339789,115.0782168,108.7970548,143.094471,139.7803728,120.6025924,119.061017,117.4807864,155.6243974,116.7573782
Mp1g01250,244.7157462,215.48549,286.7743472,354.070453,288.6483713,348.3614216,335.3279431,388.4199971,312.2859206,276.6276848,210.928217,169.7601993
Mp1g01260,187.812422,208.2365621,405.0749083,265.0265961,559.170332,459.7331343,445.2858561,472.3673047,192.1441171,226.6757382,538.5647481,277.2169183
