target_id	TF_id	cor	p	in_fimo	target_name	TF_name
Mp5g18050	Mp7g03490	0.876330445940453	0.00018445145826429	TRUE	CLE2	GATA4
Mp6g07050	Mp7g03700	0.829322487106852	0.000850000894887515	FALSE	CLE1 	B3-5
Mp6g13820	Mp7g03700	0.875564000319109	0.000189983649955483	FALSE	SCL4	B3-5
Mp2g03850	Mp7g06290	0.82359871519274	0.000992232122228653	FALSE	LS	TRIHELIX21
Mp5g18050	Mp7g06290	0.901398997208041	6.20750900632849e-05	FALSE	CLE2	TRIHELIX21
Mp5g21990	Mp7g06290	0.880933732596625	0.000153816954914454	FALSE	NSP1	TRIHELIX21
Mp1g27720	Mp7g07550	0.871565474708156	0.000220981187063707	FALSE	CLV1	IDDL4
Mp6g13820	Mp7g07550	0.82588752227544	0.000933314539764751	FALSE	SCL4	IDDL4
Mp1g09960	Mp7g09490	0.854289629207317	0.00040291219019517	FALSE	TDR	TCP1
Mp5g18050	Mp7g09490	0.878419395368262	0.000170010298609302	TRUE	CLE2	TCP1
Mp5g21990	Mp7g09490	0.823561318428106	0.000993218004428975	FALSE	NSP1	TCP1
Mp2g03850	Mp7g09710	0.867518181335655	0.000256239559508042	FALSE	LS	C4HDZ
Mp5g18050	Mp7g09710	0.828906256286616	0.000859778250339893	FALSE	CLE2	C4HDZ
Mp1g09960	Mp7g09740	0.897640646953541	7.43567326997319e-05	FALSE	TDR	GARP8
Mp1g09960	Mp7g11330	0.876298572226762	0.000184678984163522	FALSE	TDR	GARP5
Mp1g27720	Mp7g11330	0.857013890313268	0.000368394401618621	FALSE	CLV1	GARP5
Mp1g02890	Mp7g12630	0.876375481053272	0.000184130354896395	FALSE	E2F	DELLA2
Mp1g09040	Mp7g12630	0.952634802725112	1.73360708966008e-06	FALSE	C3H (1)	DELLA2
Mp1g10310	Mp7g12630	0.900143528298725	6.59853519975329e-05	FALSE	CDC5	DELLA2
Mp1g23310	Mp7g12630	0.841561831829525	0.000598801503076896	FALSE	TRIHELIX22	DELLA2
Mp2g00910	Mp7g12630	0.825910418808534	0.000932739122820214	FALSE	BHLH3	DELLA2
Mp4g11030	Mp7g12630	0.880866965903343	0.00015423073121168	FALSE	C2H2 (2)	DELLA2
Mp5g00110	Mp7g12630	0.843055463533936	0.000572617239862128	FALSE	C3H (7)	DELLA2
Mp2g03850	Mp7g12800	0.943424848890679	4.14936712989089e-06	FALSE	LS	TRIHELIX7
Mp7g12630	Mp7g13760	0.833810502993226	0.000749937017580526	FALSE	DELLA2	ERF2
Mp1g10440	Mp7g15840	0.859384848917073	0.000340265346741919	FALSE	DLT	C3H (9)
Mp6g07050	Mp7g15840	0.902972000966135	5.74352459810079e-05	FALSE	CLE1 	C3H (9)
Mp6g13820	Mp7g15840	0.915543489544804	2.93280067897861e-05	FALSE	SCL4	C3H (9)
Mp5g20660	Mp7g16910	0.896720477065473	7.76355641971538e-05	FALSE	DELLA1	TRIHELIX19
Mp1g11660	Mp7g17020	0.913465367525094	3.29998562387246e-05	TRUE	WOX13	ERF11
Mp1g23000	Mp7g17020	0.908417298542275	4.34358092069598e-05	TRUE	BAM1	ERF11
Mp5g18050	Mp7g17020	0.894849415202996	8.4652165241339e-05	TRUE	CLE2	ERF11
Mp1g09960	Mp7g18530	0.839122684743432	0.000643545237971388	FALSE	TDR	C3H (10)
Mp5g20660	Mp7g18530	0.869565797928431	0.000237893113410159	FALSE	DELLA1	C3H (10)
Mp1g09960	Mp8g01190	0.874059120923384	0.000201222337663065	FALSE	TDR	BBX4
Mp5g20660	Mp8g01190	0.836507654217694	0.00069434588049444	FALSE	DELLA1	BBX4
Mp5g05940	Mp8g01770	-0.841035709959551	0.000608242264202863	FALSE	BBX1	SCLA
Mp1g09960	Mp8g03980	0.895307721585846	8.28892730844188e-05	FALSE	TDR	GRAS10
Mp1g10030	Mp8g03980	0.897304126890141	7.55429897334459e-05	FALSE	SPL2	GRAS10
Mp1g10310	Mp8g03980	0.87809045387608	0.000172223619161027	FALSE	CDC5	GRAS10
Mp1g12750	Mp8g03980	0.885169855326515	0.000129285054402573	FALSE	ARF1	GRAS10
Mp1g24520	Mp8g03980	0.854954217439456	0.000394268999777792	FALSE	4R-MYB1	GRAS10
Mp1g24950	Mp8g03980	0.833290532356463	0.000761038534942138	FALSE	WRKY11	GRAS10
Mp2g07150	Mp8g03980	0.832071450288587	0.000787564486782522	FALSE	BHLH29	GRAS10
Mp2g10620	Mp8g03980	0.864493485212605	0.000285337879345704	FALSE	C3H (2)	GRAS10
Mp2g11520	Mp8g03980	0.890550145911191	0.000102662489503746	FALSE	CXC1	GRAS10
